rec,_RAJ2000,_DEJ2000
1982,194.227875,30.6764444
1983,194.27825,4.5916667
1985,194.2961667,8.73575
1988,194.4765417,27.4906389
1989,194.5099167,26.8595278
1992,194.5754583,12.3909444
1996,194.757625,26.8156667
2000,194.9673333,1.6403611
2003,195.0742083,27.3875278
2006,195.1385417,10.1299722
2007,195.17775,36.3455556
2008,195.1903333,14.6638056
2010,195.208,27.4058056
2013,195.2709167,9.7568056
2015,195.3069167,58.1122778
2017,195.3232917,27.8090833
2019,195.3994167,13.5662778
2022,195.547,4.2253056
2026,195.648875,41.3233611
2028,195.8064583,18.721
2029,195.8225,38.0469167
2030,195.8384583,14.3775
2032,195.9057917,40.2489722
2036,195.9783333,9.7551667
2037,195.9937083,14.9119167
2040,196.0322083,19.2106389
2041,196.046875,27.4904444
2042,196.049375,61.1947222
2047,196.1341667,7.8096944
2048,196.139375,7.9832222
2056,196.494625,25.4656944
2059,196.6395417,61.4555
2065,196.7625,13.0748333
2071,196.877,36.3779722
2073,196.9284167,24.8105833
2077,197.0798333,45.3617222
2082,197.2651667,-0.766
2085,197.31225,8.5317222
2086,197.3390417,4.4981389
2087,197.377625,62.1628333
2090,197.3951667,4.9505278
2091,197.4074167,59.2941389
2098,197.6270833,9.0227222
2106,197.8365833,57.81725
2110,197.9530833,10.6021944
2114,198.0574583,58.5375
2115,198.10775,28.5376944
2120,198.189125,46.935
2122,198.2468333,22.4265
2127,198.285875,1.1535278
2128,198.312375,53.2053611
2131,198.4757083,6.9608611
2132,198.4872083,13.80775
2135,198.6087083,50.9791667
2138,198.6938333,54.0873889
2140,198.757875,29.1803056
2141,198.78425,30.4037778
2145,198.895375,29.6760833
2148,199.0612083,41.4944722
2149,199.0665,30.2645278
2152,199.1157083,31.0315
2154,199.1746667,21.9797778
2157,199.3748333,20.6841944
2160,199.4525417,55.6943333
2163,199.5503333,34.4726111
2164,199.5841667,28.6188611
2170,199.8073333,-0.9878056
2171,199.8162083,54.60175
2174,199.8969583,31.6578056
2177,199.9544583,22.867
2181,200.10675,30.603
2185,200.2277083,-0.9411944
2190,200.342625,23.9437778
2192,200.3998333,15.3216389
2193,200.4415833,33.1828333
2199,200.657125,32.2443056
2200,200.697625,41.9408056
2207,200.8881667,40.2348333
2209,200.951875,43.3011944
2211,200.971875,51.43525
2213,201.0842083,32.8481111
2214,201.1059583,30.9592778
2218,201.2723333,-0.9031111
2222,201.3661667,7.6970278
2223,201.411625,32.5778056
2226,201.4883333,31.6182778
2227,201.4885833,24.8372778
2228,201.5175417,30.2233611
2236,201.7695417,41.95725
2243,201.9793333,5.2288056
2244,202.1389167,-2.2156111
2248,202.2339583,22.29275
2250,202.2634583,-0.0436111
2251,202.2823333,50.2663056
2256,202.3577083,11.9098611
2257,202.3707083,33.6643889
2258,202.372125,11.6247778
2261,202.401875,32.4007222
2263,202.426875,31.9870833
2264,202.428375,47.8847222
2271,202.6303333,12.5195278
2275,202.7031667,34.6402778
2276,202.7153333,-1.7786944
2278,202.7729583,34.6855
2286,203.0963333,33.0975278
2288,203.1281667,1.8476944
2294,203.246375,32.3204444
2296,203.2662917,17.5970833
2297,203.27225,-1.0358056
2300,203.334,51.4903333
2301,203.4192083,-2.7422778
2303,203.4577083,3.3158611
2308,203.5423333,13.1629444
2309,203.5780417,34.8631389
2315,203.8116667,25.04475
2320,203.8791667,66.1253056
2321,203.89725,54.3806944
2323,203.9266667,13.3309167
2326,203.9377083,27.8676111
2328,203.9561667,42.1665
2331,204.19275,34.6271111
2332,204.2269167,17.3999722
2333,204.2440417,0.2256944
2337,204.3524583,9.0235
2344,204.5620417,21.7867778
2350,204.6667917,61.7492222
2351,204.678625,45.3660278
2352,204.6838333,26.3285278
2359,204.917875,35.0233889
2365,205.0670417,5.0763056
2369,205.11325,4.7738333
2371,205.1311667,55.5953889
2375,205.1510833,30.3180278
2381,205.3262083,24.4961944
2390,205.685125,35.0629167
2393,205.7565417,17.88675
2397,206.0215833,41.1421111
2409,206.4759583,2.2506389
2417,206.67675,29.3664722
2420,206.743875,6.9358611
2422,206.7681667,11.1062778
2425,206.7885,3.6438611
2427,206.829,9.0263889
2428,206.8569583,22.5782778
2431,207.0280417,16.3833611
2432,207.0615833,24.77775
2433,207.0756667,18.3571389
2445,207.5524167,24.0994722
2447,207.6387917,16.1020278
2450,207.6820417,33.6326111
2454,207.7592917,-0.1542222
2458,207.8232083,21.542
2461,208.0348333,14.1162222
2462,208.048125,13.9999167
2463,208.061875,7.9227222
2469,208.2356667,2.8142778
2470,208.2403333,20.9170278
2477,208.5390417,60.6780556
2483,208.65125,12.5344444
2487,208.8995417,5.8846111
2489,208.9955833,13.8613611
2503,209.2222083,20.1426667
2505,209.307875,11.9975
2509,209.4559583,9.8733889
2514,209.5547083,17.5310833
2516,209.6051667,59.1487778
2519,209.6499583,11.7758056
2522,209.7482917,-2.6256111
2523,209.7615417,15.5656667
2524,209.77225,15.8323611
2525,209.7869583,28.0565833
2529,210.0062083,18.6179722
2535,210.13225,12.3045
2537,210.1703333,34.1471667
2541,210.2396667,49.7965833
2548,210.3864167,13.535
2552,210.4338333,9.8683889
2559,210.6677083,65.0102222
2569,210.903125,39.0528056
2571,211.0452917,33.3078056
2572,211.049625,12.7073889
2575,211.1260417,5.1081944
2576,211.1564167,10.9783333
2583,211.4020833,62.7506944
2584,211.429875,25.2313611
2587,211.4852917,9.0264167
2593,211.6796667,60.0466944
2596,211.9730417,14.89175
2601,212.0618333,44.0529722
2606,212.2331667,-3.3153889
2612,212.5605,11.4725556
2613,212.5617083,57.7756389
2615,212.6985417,35.9135
2620,213.070125,18.2994722
2625,213.14925,47.2530556
2630,213.3327917,8.8505833
2631,213.369,17.7563333
2646,214.0116667,54.888
2647,214.0235417,32.1309167
2649,214.0538333,26.1902778
2651,214.0950833,1.5911667
2666,214.5597917,7.33775
2668,214.6420833,37.0244167
2672,214.8125,7.0211389
2673,214.834125,8.9291667
2689,215.4757917,7.8825556
2698,215.7563333,33.6986944
2701,215.9925833,65.21675
2702,216.0248333,34.8921111
2703,216.03625,44.5619444
2704,216.0369583,26.6363056
2705,216.0505,35.1461111
2706,216.0568333,21.7294167
2709,216.1524583,4.5591667
2724,216.58275,16.7972778
2725,216.6569167,52.4926944
2727,216.8437083,3.5765
2730,216.9431667,6.5976944
2731,216.9617083,25.8380833
2736,217.1576667,13.4660556
2737,217.170125,11.3680278
2738,217.188625,28.96425
2758,217.7230833,11.2366389
2761,217.8524583,1.2343889
2763,217.9045417,28.1313889
2765,217.9315417,-1.9916389
2767,217.9862083,57.8120556
2769,218.0024583,52.7492778
2770,218.05225,45.9165278
2782,218.4514583,40.0941667
2788,218.5792083,3.6643889
2789,218.6146667,31.5520556
2791,218.6739583,47.9378056
2794,218.7676667,16.1147778
2797,218.8024583,13.7475278
2798,218.8315417,12.4724167
2804,219.0084167,2.8516111
2805,219.0107917,36.5031944
2810,219.063375,15.82275
2813,219.2209583,12.1612778
2815,219.2615,28.7740556
2817,219.3660833,25.7655556
2819,219.382125,15.9299167
2822,219.4389583,3.8070556
2823,219.48075,3.9845278
2824,219.5090833,10.1623611
2829,219.6445833,17.7814722
2831,219.6595,52.5811389
2837,219.7612083,36.4124167
2843,219.8822083,9.2349722
2846,219.9077083,3.1466667
2857,220.173625,13.4801944
2862,220.5832083,19.1918333
2867,220.63875,54.0489722
2868,220.639875,61.1773056
2877,221.05075,7.9496389
2878,221.0614167,4.2185556
2880,221.1218333,4.74475
2885,221.4907917,17.6412778
2888,221.5490417,10.3944722
2889,221.588125,23.9188889
2890,221.596875,38.0339722
2896,221.8064167,13.39975
2898,221.8351667,30.5501389
2899,221.836625,-2.9204167
2901,221.970375,16.8395833
2906,222.2033333,17.38725
2907,222.2101667,57.7708611
2908,222.2344167,22.1419444
2914,222.369625,3.8021667
2916,222.4071667,18.6998611
2920,222.550625,55.1194167
2924,222.6199167,9.7972222
2926,222.6773333,-0.8758056
2928,222.7289583,4.9489167
2932,222.9535833,19.9542778
2934,222.9774167,5.3261944
2936,223.0398333,55.8994444
2937,223.061875,1.9236389
2939,223.089125,50.3593056
2940,223.1229583,16.4665556
2942,223.1317917,11.0583611
2943,223.1339583,17.0628056
2944,223.1420417,3.4093056
2946,223.2075833,60.3435556
2953,223.3557917,33.2833611
2959,223.4480833,24.4944722
2962,223.592625,27.7013333
2964,223.6317917,24.0272778
2970,223.6855833,37.4127222
2971,223.7025833,0.6413333
2974,223.7591667,17.5950278
2975,223.783875,-1.0480556
2976,223.8149167,42.5068611
2977,223.8203333,6.4397778
2983,223.9734583,49.7260833
2985,224.0574167,6.6601389
2992,224.3992083,8.2852778
3000,224.5178333,11.5612222
3001,224.5283333,2.4384444
3005,224.8878333,16.6685833
3013,225.2015417,0.1764444
3017,225.3082917,8.7022778
3021,225.4435417,23.3790556
3026,225.6987917,38.0422222
3034,225.880375,46.4369722
3041,226.0985,49.3698333
3043,226.1675833,0.6045
3045,226.198,35.3666111
3047,226.297625,-2.1419444
3049,226.3520417,12.2348611
3050,226.366375,14.4279722
3051,226.4324583,56.3924722
3052,226.4741667,-1.7307222
3053,226.50525,14.4971667
3056,226.5642083,5.8203333
3057,226.564875,10.3404167
3058,226.585875,9.6492778
3061,226.6386667,20.4285556
3063,226.7108333,7.9158056
3067,226.8459167,16.3768333
3071,226.9005,9.3582222
3078,227.0995417,20.5154722
3088,227.3815,54.5065
3091,227.464,1.7789722
3094,227.54975,-2.2485
3103,227.8087083,37.0438056
3105,227.8394583,11.3920278
3107,227.8912917,17.3153056
3110,227.9887917,7.5185833
3116,228.114625,20.6518056
3120,228.1820833,1.4648611
3124,228.2599167,7.2929444
3137,228.385125,7.2282222
3139,228.4008333,8.08575
3141,228.5169167,19.9805833
3142,228.5325833,7.0052778
3143,228.5373333,4.7144167
3164,229.1949583,8.9389444
3168,229.3091667,40.9454167
3171,229.3444167,5.5006389
3176,229.464875,-0.7932222
3181,229.609375,5.2192222
3183,229.6754583,4.2805278
3189,229.8319167,6.1885556
3190,229.855625,25.7871111
3192,229.8711667,47.2549167
3206,230.189125,1.98725
3209,230.236625,54.6749722
3213,230.3485833,28.5609167
3225,230.598,32.9830556
3228,230.6993333,8.7186111
3229,230.7323333,14.9991111
3231,230.7493333,8.7553889
3233,230.8749583,20.4425556
